STATE,District Name,Market Name,Commodity,Variety,Grade,Min_Price,Max_Price,Modal_Price,Price Date
Maharashtra,nashik,Lasalgaon(Niphad),Wheat,Maharashtra 2189,FAQ,2172.0,2399.0,2300.0,6/6/2023
Maharashtra,satara,Patan,Tomato,Other,FAQ,1000.0,1500.0,1250.0,6/6/2023
Uttar Pradesh,mainpuri,Bewar,Potato,Local,FAQ,800.0,820.0,810.0,6/6/2023
Rajasthan,chittorgarh,Nimbahera,Wheat,Other,FAQ,2040.0,2668.0,2300.0,6/6/2023
Rajasthan,pratapgarh,Pratapgarh,Onion,Other,FAQ,476.0,1043.0,617.0,6/6/2023
Rajasthan,bharatpur,Bayana,Onion,Onion,FAQ,1000.0,1000.0,1000.0,6/6/2023
Haryana,ambala,Naraingarh,Tomato,Tomato,FAQ,500.0,800.0,700.0,6/6/2023
Uttar Pradesh,pratapgarh,Pratapgarh,Onion,Other,FAQ,476.0,1043.0,617.0,6/6/2023
West Bengal,birbhum,Sainthia,Wheat,Other,FAQ,2150.0,2250.0,2200.0,6/6/2023
Himachal Pradesh,mandi,Mandi(Takoli),Tomato,Other,FAQ,1100.0,1300.0,1200.0,6/6/2023
Uttar Pradesh,sambhal,Muradabad,Tomato,Deshi,FAQ,730.0,770.0,750.0,6/6/2023
Rajasthan,pratapgarh,Pratapgarh,Wheat,Dara,FAQ,2250.0,2450.0,2300.0,6/6/2023
Uttar Pradesh,pratapgarh,Pratapgarh,Wheat,Dara,FAQ,2250.0,2450.0,2300.0,6/6/2023
Haryana,panipat,Panipat,Potato,Other,FAQ,600.0,1000.0,800.0,6/6/2023
Gujarat,bhavnagar,Mahuva(Station Road),Wheat,Kalyan,FAQ,2040.0,3050.0,2545.0,6/6/2023
Uttar Pradesh,bareilly,Bareilly,Onion,Red,FAQ,1075.0,1150.0,1120.0,6/6/2023
Haryana,kaithal,Kaithal,Onion,1st Sort,FAQ,700.0,1200.0,950.0,6/6/2023
Himachal Pradesh,kangra,Palampur,Onion,Other,FAQ,1300.0,1800.0,1550.0,6/6/2023
Meghalaya,west garo hills,Tura,Potato,Local,FAQ,1700.0,1900.0,1800.0,6/6/2023
Maharashtra,nashik,Lasalgaon(Vinchur),Wheat,Other,FAQ,2100.0,2382.0,2200.0,6/6/2023
Madhya Pradesh,rajgarh,Kurawar,Wheat,Lok -1 (Nilami Rate),FAQ,1900.0,2505.0,2050.0,6/6/2023
Madhya Pradesh,sagar,Kesli,Wheat,Other,FAQ,2220.0,2230.0,2225.0,6/6/2023
Haryana,panipat,Panipat,Tomato,Other,FAQ,400.0,700.0,500.0,6/6/2023
Andhra Pradesh,nalgonda,Venkateswarnagar,Potato,Local,FAQ,1800.0,1800.0,1800.0,6/6/2023
Gujarat,anand,Khambhat(Grain Market),Wheat,Other,FAQ,2125.0,2350.0,2225.0,6/6/2023
Kerala,ernakulam,Thrippunithura,Onion,Big,FAQ,2000.0,2400.0,2000.0,6/6/2023
Madhya Pradesh,satna,Nagod,Wheat,Dara Mill Quality,FAQ,2220.0,2265.0,2240.0,6/6/2023
Madhya Pradesh,mandla,Nainpur,Wheat,Local,FAQ,2200.0,2200.0,2200.0,6/6/2023
West Bengal,birbhum,Birbhum,Onion,Other,FAQ,1900.0,2000.0,1950.0,6/6/2023
Gujarat,patan,Patan,Wheat,Other,FAQ,2100.0,3405.0,2755.0,6/6/2023
Uttar Pradesh,amethi,Sultanpur,Tomato,Deshi,FAQ,1150.0,1350.0,1200.0,6/6/2023
Haryana,sonipat,Sonepat(Kharkhoda),Tomato,Deshi,FAQ,1000.0,1000.0,1000.0,6/6/2023
Uttar Pradesh,bulandshahar,Siyana,Tomato,Local,FAQ,1100.0,1200.0,1150.0,6/6/2023
Madhya Pradesh,jhabua,Petlawad,Wheat,147 Average,FAQ,2125.0,2225.0,2180.0,6/6/2023
Nagaland,mokokchung,Mokokchung Town,Onion,Other,FAQ,2500.0,3500.0,3000.0,6/6/2023
Himachal Pradesh,una,Una,Potato,Potato,FAQ,900.0,1200.0,1000.0,6/6/2023
Kerala,thiruvananthapuram,Neyyatinkara,Tomato,Tomato,FAQ,5400.0,6000.0,5600.0,6/6/2023
Himachal Pradesh,hamirpur,Kurara,Wheat,Dara,FAQ,2000.0,2200.0,2100.0,6/6/2023
Orissa,nayagarh,Sarankul,Tomato,Other,FAQ,2700.0,3000.0,2800.0,6/6/2023
Maharashtra,ahmednagar,Pathardi,Onion,Red,FAQ,200.0,900.0,600.0,6/6/2023
Gujarat,surat,Surat,Potato,Other,FAQ,650.0,1650.0,1150.0,6/6/2023
Maharashtra,dhule,Pratap Nana Mahale Khajgi Bajar Samiti,Onion,Red,FAQ,300.0,750.0,461.93,6/6/2023
Maharashtra,satara,Phaltan,Onion,Hybrid,FAQ,300.0,1300.0,700.0,6/6/2023
Haryana,yamuna nagar,Radaur,Tomato,Other,FAQ,500.0,700.0,600.0,6/6/2023
Maharashtra,ahmednagar,Shrirampur,Wheat,Other,FAQ,2100.0,2350.0,2300.0,6/6/2023
Haryana,jind,Jind,Onion,Other,FAQ,800.0,1200.0,1000.0,6/6/2023
Uttar Pradesh,jaunpur,Mugrabaadshahpur,Tomato,Deshi,FAQ,800.0,1000.0,900.0,6/6/2023
Himachal Pradesh,hamirpur,Raath,Potato,Desi,FAQ,1050.0,1125.0,1100.0,6/6/2023
Uttar Pradesh,jaunpur,Shahganj,Potato,Badshah,FAQ,900.0,1000.0,930.0,6/6/2023
Uttar Pradesh,mainpuri,Ghiraur,Potato,Local,FAQ,735.0,935.0,835.0,6/6/2023
Karnataka,bangalore,Ramanagara,Tomato,Tomato,FAQ,2000.0,2800.0,2500.0,6/6/2023
Uttar Pradesh,etawah,Jasvantnagar,Onion,Red,FAQ,1220.0,1320.0,1270.0,6/6/2023
Madhya Pradesh,vidisha,Shamshabad,Wheat,Lok -1 (Nilami Rate),FAQ,1990.0,2236.0,2101.0,6/6/2023
Assam,lakhimpur,Golagokarnath,Potato,Badshah,FAQ,885.0,1020.0,985.0,6/6/2023
West Bengal,nadia,Ranaghat,Tomato,Other,FAQ,3900.0,4050.0,4000.0,6/6/2023
Gujarat,amreli,Savarkundla,Wheat,Bansi,FAQ,2175.0,2680.0,2428.0,6/6/2023
Madhya Pradesh,tikamgarh,Palera,Wheat,Mill Quality,FAQ,2130.0,2150.0,2140.0,6/6/2023
Uttar Pradesh,mirzapur,Mirzapur,Tomato,Hybrid,FAQ,825.0,950.0,875.0,6/6/2023
Haryana,kurukshetra,Shahabad,Potato,Potato,FAQ,741.0,900.0,800.0,6/6/2023
Maharashtra,nashik,Pimpalgaon,Onion,Other,FAQ,200.0,2156.0,1051.0,6/6/2023
Madhya Pradesh,rajgarh,Sarangpur,Wheat,Other,FAQ,2030.0,2412.0,2200.0,6/6/2023
Uttar Pradesh,ghazipur,Gazipur,Potato,Desi,FAQ,920.0,960.0,940.0,6/6/2023
Punjab,ludhiana,Ludhiana,Tomato,Other,FAQ,200.0,800.0,600.0,6/6/2023
Uttar Pradesh,deoria,Barhaj,Onion,Red,FAQ,1160.0,1180.0,1170.0,6/6/2023
Orissa,kendrapara,Pattamundai,Tomato,Tomato,FAQ,2500.0,3000.0,3000.0,6/6/2023
Madhya Pradesh,bhind,Mow,Wheat,Other,FAQ,2205.0,2224.0,2215.0,6/6/2023
Andhra Pradesh,kurnool,Pattikonda,Tomato,Local,FAQ,2000.0,3000.0,2500.0,6/6/2023
West Bengal,nadia,Ranaghat,Onion,Other,FAQ,1600.0,1750.0,1700.0,6/6/2023
Haryana,fatehabad,Ratia,Onion,Other,FAQ,800.0,1000.0,900.0,6/6/2023
Madhya Pradesh,bhopal,Bhopal(F&V),Onion,Other,FAQ,300.0,1000.0,700.0,6/6/2023
Rajasthan,hanumangarh,Rawatsar,Tomato,Deshi,FAQ,400.0,400.0,400.0,6/6/2023
Himachal Pradesh,kullu,Bhuntar,Onion,Other,FAQ,1800.0,2000.0,1900.0,6/6/2023
Kerala,thiruvananthapuram,Pothencode,Tomato,Other,FAQ,17100.0,17180.0,17140.0,6/6/2023
Himachal Pradesh,mandi,Mandi(Mandi),Tomato,Tomato,FAQ,1000.0,1400.0,1200.0,6/6/2023
Gujarat,porbandar,Porbandar,Potato,(Red Nanital),FAQ,2500.0,3000.0,2750.0,6/6/2023
Madhya Pradesh,narsinghpur,Narsinghpur,Wheat,Other,FAQ,1899.0,2334.0,2250.0,6/6/2023
Haryana,yamuna nagar,Sadhaura,Onion,Onion,FAQ,1000.0,1200.0,1100.0,6/6/2023
Uttar Pradesh,saharanpur,Saharanpur,Onion,Red,FAQ,980.0,1270.0,1125.0,6/6/2023
Uttar Pradesh,unnao,Purwa,Tomato,Deshi,FAQ,950.0,1050.0,1010.0,6/6/2023
Uttar Pradesh,mathura,Mathura,Wheat,Dara,FAQ,2125.0,2345.0,2300.0,6/6/2023
Haryana,gurgaon,Pataudi,Onion,Other,FAQ,1000.0,1100.0,1050.0,6/6/2023
Haryana,gurgaon,Pataudi,Tomato,Other,FAQ,500.0,700.0,600.0,6/6/2023
Maharashtra,mumbai,Vashi New Mumbai,Potato,Other,FAQ,900.0,1400.0,1150.0,6/6/2023
Rajasthan,kota,Kota (F&V),Tomato,Other,FAQ,500.0,1000.0,600.0,6/6/2023
Himachal Pradesh,kullu,Kullu,Onion,Other,FAQ,1800.0,2000.0,1900.0,6/6/2023
Madhya Pradesh,ujjain,Mahidpur,Wheat,Other,FAQ,1950.0,2600.0,2090.0,6/6/2023
Kerala,kollam,Kottarakkara,Tomato,Other,FAQ,4000.0,4000.0,4000.0,6/6/2023
Madhya Pradesh,dindori,Dindori,Wheat,Local,FAQ,2150.0,2200.0,2200.0,6/6/2023
Rajasthan,tonk,Dooni,Wheat,147 Average,FAQ,2120.0,2140.0,2130.0,6/6/2023
Orissa,nuapada,Khariar,Onion,Dry F.A.Q.,FAQ,1500.0,2000.0,2000.0,6/6/2023
Gujarat,rajkot,Rajkot(Veg.Sub Yard),Tomato,Tomato,FAQ,1000.0,2000.0,1625.0,6/6/2023
Madhya Pradesh,mandsaur,Mandsaur,Wheat,Other,FAQ,1950.0,2531.0,2280.0,6/6/2023
Uttar Pradesh,saharanpur,Deoband,Potato,Other,FAQ,700.0,1000.0,800.0,6/6/2023
Uttar Pradesh,aligarh,Khair,Onion,Red,FAQ,1030.0,1120.0,1090.0,6/6/2023
Gujarat,bhavnagar,Mahuva(Station Road),Onion,Other,FAQ,415.0,2140.0,1710.0,6/6/2023
Madhya Pradesh,dewas,Dewas(F&V),Potato,Other,FAQ,400.0,1600.0,800.0,6/6/2023
Haryana,kaithal,Dhand,Potato,Other,FAQ,1000.0,1100.0,1100.0,6/6/2023
Orissa,keonjhar,Keonjhar(Dhekikote),Onion,Other,FAQ,2000.0,2200.0,2200.0,6/6/2023
Maharashtra,nashik,Malegaon,Wheat,Other,FAQ,1860.0,2652.0,2341.0,6/6/2023
Karnataka,davangere,Davangere,Potato,Potato,FAQ,1200.0,1500.0,1300.0,6/6/2023
Haryana,rohtak,Rohtak,Tomato,Other,FAQ,400.0,700.0,500.0,6/6/2023
Orissa,keonjhar,Saharpada,Tomato,Other,FAQ,2000.0,2200.0,2200.0,6/6/2023
Kerala,kottayam,Thalayolaparambu,Onion,Onion,FAQ,6500.0,7000.0,6700.0,6/6/2023
Haryana,rohtak,Rohtak,Potato,Other,FAQ,500.0,1000.0,700.0,6/6/2023
Uttar Pradesh,lalitpur,Lalitpur,Wheat,Dara,FAQ,2150.0,2240.0,2190.0,6/6/2023
Jammu & Kashmir,udhampur,Reasi,Potato,Potato,FAQ,1200.0,1400.0,1300.0,6/6/2023
Madhya Pradesh,sagar,Sagar(F&V),Tomato,Deshi,FAQ,1000.0,1400.0,1200.0,6/6/2023
West Bengal,kolkata,Sealdah Koley Market,Tomato,Other,FAQ,3200.0,4000.0,3600.0,6/6/2023
Gujarat,dahod,Limkheda,Wheat,Other,FAQ,2390.0,2480.0,2420.0,6/6/2023
Uttar Pradesh,hardoi,Sandila,Tomato,Hybrid,FAQ,950.0,1030.0,990.0,6/6/2023
Uttar Pradesh,hardoi,Madhoganj,Potato,Badshah,FAQ,950.0,1000.0,980.0,6/6/2023
Uttar Pradesh,bulandshahar,Buland Shahr,Onion,Red,FAQ,1000.0,1225.0,1130.0,6/6/2023
Andhra Pradesh,hyderabad,Mahboob Manison,Potato,(Red Nanital),FAQ,1200.0,1200.0,1200.0,6/6/2023
Punjab,patiala,Nabha,Onion,Other,FAQ,900.0,1400.0,1280.0,6/6/2023
Uttar Pradesh,ballia,Rasda,Tomato,Deshi,FAQ,760.0,900.0,820.0,6/6/2023
Maharashtra,kolhapur,Kolhapur,Tomato,Other,FAQ,500.0,1800.0,1200.0,6/6/2023
Himachal Pradesh,mandi,Mandi(Takoli),Potato,Other,FAQ,800.0,1000.0,900.0,6/6/2023
Punjab,ludhiana,Machhiwara,Potato,Other,FAQ,800.0,1200.0,1000.0,6/6/2023
Uttar Pradesh,shahjahanpur,Puwaha,Tomato,Hybrid,FAQ,650.0,850.0,750.0,6/6/2023
Gujarat,dahod,Dahod,Wheat,Lokwan,FAQ,2450.0,2650.0,2550.0,6/6/2023
Kerala,ernakulam,Piravam,Tomato,Other,FAQ,3000.0,4000.0,3500.0,6/6/2023
Orissa,keonjhar,Keonjhar,Onion,Other,FAQ,1800.0,2000.0,2000.0,6/6/2023
Haryana,ambala,Barara,Potato,Other,FAQ,500.0,600.0,500.0,6/6/2023
Madhya Pradesh,vidisha,Ganjbasoda,Wheat,Lok-1,FAQ,2000.0,2500.0,2400.0,6/6/2023
Madhya Pradesh,ratlam,Jaora,Wheat,Lok -1 (Nilami Rate),FAQ,2010.0,3030.0,2400.0,6/6/2023
Rajasthan,churu,Churu,Tomato,Hybrid,FAQ,1200.0,1400.0,1300.0,6/6/2023
Uttar Pradesh,unnao,Unnao,Potato,Desi,FAQ,940.0,1025.0,980.0,6/6/2023
Maharashtra,nashik,Nandgaon,Wheat,Maharashtra 2189,FAQ,2165.0,2880.0,2165.0,6/6/2023
Punjab,jalandhar,Bhogpur,Tomato,Other,FAQ,400.0,400.0,400.0,6/6/2023
Uttar Pradesh,kaushambi,Bharwari,Tomato,Deshi,FAQ,800.0,950.0,885.0,6/6/2023
Rajasthan,hanumangarh,Hanumangarh(Urlivas),Potato,(Red Nanital),FAQ,900.0,900.0,900.0,6/6/2023
Madhya Pradesh,panna,Pawai,Wheat,147 Average,FAQ,2300.0,2300.0,2300.0,6/6/2023
Haryana,yamuna nagar,Chhachrauli,Potato,Potato,FAQ,900.0,1200.0,900.0,6/6/2023
Uttar Pradesh,ghaziabad,Noida,Tomato,Hybrid,FAQ,800.0,1300.0,1200.0,6/6/2023
