source_file,fruit_label,ticks,mq2,mq3,mq4,mq5,mq6,mq7,mq8,mq9,mq135
AppleBanana.csv,Banana+Apple,1650984397516,85,277,90,97,127,57,251,95,1399
AppleBanana.csv,Banana+Apple,1650984343963,79,306,89,109,137,63,283,96,1466
AppleBanana.csv,Banana+Apple,1650984404003,87,277,90,96,133,60,252,94,1386
AppleBanana.csv,Banana+Apple,1650984345664,87,300,94,111,135,58,288,91,1465
AppleBanana.csv,Banana+Apple,1650984277901,76,328,90,121,124,55,285,82,1444
AppleBanana.csv,Banana+Apple,1650984388134,87,278,86,94,131,55,252,91,1405
AppleBanana.csv,Banana+Apple,1650984369825,87,292,87,107,132,62,264,96,1440
AppleBanana.csv,Banana+Apple,1650984414254,86,275,90,94,129,55,252,95,1385
AppleBanana.csv,Banana+Apple,1650984296572,78,317,88,117,129,57,282,88,1473
AppleBanana.csv,Banana+Apple,1650984287019,78,319,90,122,127,60,295,84,1457
AppleBanana.csv,Banana+Apple,1650984353108,81,303,90,107,134,60,266,95,1463
AppleBanana.csv,Banana+Apple,1650984384680,87,281,90,97,129,56,253,91,1418
AppleBanana.csv,Banana+Apple,1650984395527,85,275,80,98,130,59,238,98,1402
AppleBanana.csv,Banana+Apple,1650984285527,74,324,86,123,127,58,298,91,1450
AppleBanana.csv,Banana+Apple,1650984282807,76,319,86,125,128,57,302,89,1451
AppleBanana.csv,Banana+Apple,1650984383564,84,281,88,94,127,61,250,94,1420
AppleBanana.csv,Banana+Apple,1650984303034,79,318,87,120,132,61,303,92,1472
AppleBanana.csv,Banana+Apple,1650984373104,83,286,91,97,133,59,248,94,1439
AppleBanana.csv,Banana+Apple,1650984273281,67,328,85,122,124,57,297,81,1433
AppleBanana.csv,Banana+Apple,1650984389565,87,281,92,93,115,58,239,96,1408
AppleBanana.csv,Banana+Apple,1650984355200,86,300,92,107,135,62,263,92,1463
AppleBanana.csv,Banana+Apple,1650984328588,79,304,89,108,129,60,273,91,1469
AppleBanana.csv,Banana+Apple,1650984332794,79,309,86,109,134,60,282,92,1465
AppleBanana.csv,Banana+Apple,1650984247762,62,282,86,107,96,50,238,68,1270
AppleBanana.csv,Banana+Apple,1650984358952,88,295,93,107,133,65,271,95,1463
AppleBanana.csv,Banana+Apple,1650984387099,86,279,87,91,132,57,247,91,1410
AppleBanana.csv,Banana+Apple,1650984318839,80,313,87,119,131,64,279,89,1482
AppleBanana.csv,Banana+Apple,1650984333576,77,307,87,114,133,56,283,92,1466
AppleBanana.csv,Banana+Apple,1650984266331,67,320,85,118,118,60,296,82,1405
AppleBanana.csv,Banana+Apple,1650984277610,70,325,90,121,124,57,283,83,1440
AppleBanana.csv,Banana+Apple,1650984398373,82,274,91,96,130,60,244,87,1397
AppleBanana.csv,Banana+Apple,1650984386051,87,279,89,89,125,57,251,95,1408
AppleBanana.csv,Banana+Apple,1650984325493,82,313,89,114,133,63,292,95,1474
AppleBanana.csv,Banana+Apple,1650984258889,56,315,88,130,113,58,286,75,1363
AppleBanana.csv,Banana+Apple,1650984341370,88,306,90,115,134,63,293,93,1464
AppleBanana.csv,Banana+Apple,1650984382147,85,279,91,96,131,59,236,94,1414
AppleBanana.csv,Banana+Apple,1650984267961,72,323,89,121,122,54,296,83,1418
AppleBanana.csv,Banana+Apple,1650984262475,66,319,86,121,119,54,282,73,1385
AppleBanana.csv,Banana+Apple,1650984296065,77,313,87,118,132,62,286,87,1472
AppleBanana.csv,Banana+Apple,1650984265813,66,322,86,124,122,53,304,79,1404
AppleBanana.csv,Banana+Apple,1650984289333,75,323,88,119,128,59,285,88,1461
AppleBanana.csv,Banana+Apple,1650984253176,64,306,86,123,105,49,270,71,1324
AppleBanana.csv,Banana+Apple,1650984288021,78,324,88,126,126,59,296,87,1457
AppleBanana.csv,Banana+Apple,1650984352761,83,300,88,107,133,56,267,95,1469
AppleBanana.csv,Banana+Apple,1650984398157,84,277,90,93,128,56,239,94,1398
AppleBanana.csv,Banana+Apple,1650984401234,85,281,87,92,129,57,245,92,1395
AppleBanana.csv,Banana+Apple,1650984355654,85,294,90,101,131,62,262,95,1464
AppleBanana.csv,Banana+Apple,1650984379933,84,281,88,95,128,58,234,97,1425
AppleBanana.csv,Banana+Apple,1650984310838,82,315,88,119,132,63,280,89,1474
AppleBanana.csv,Banana+Apple,1650984308682,83,315,86,113,130,62,294,91,1474
AppleBanana.csv,Banana+Apple,1650984334505,80,308,87,111,133,64,288,90,1458
AppleBanana.csv,Banana+Apple,1650984397840,85,276,92,92,132,61,242,89,1395
AppleBanana.csv,Banana+Apple,1650984320468,80,311,90,114,130,60,278,90,1477
AppleBanana.csv,Banana+Apple,1650984256898,66,308,86,125,114,51,282,69,1349
AppleBanana.csv,Banana+Apple,1650984255459,63,310,89,125,107,51,274,71,1340
AppleBanana.csv,Banana+Apple,1650984391066,74,289,82,107,124,72,240,84,1424
AppleBanana.csv,Banana+Apple,1650984344488,87,300,91,111,135,62,280,91,1463
AppleBanana.csv,Banana+Apple,1650984303089,79,315,87,125,130,55,302,94,1472
AppleBanana.csv,Banana+Apple,1650984264367,69,322,86,119,120,55,303,84,1393
AppleBanana.csv,Banana+Apple,1650984383716,82,280,89,95,132,56,248,95,1420
AppleBanana.csv,Banana+Apple,1650984329645,81,305,86,105,129,60,284,90,1465
AppleBanana.csv,Banana+Apple,1650984339591,83,311,89,117,133,63,283,93,1464
AppleBanana.csv,Banana+Apple,1650984316626,75,313,86,111,129,61,289,88,1476
AppleBanana.csv,Banana+Apple,1650984394160,84,279,91,97,129,56,247,94,1403
AppleBanana.csv,Banana+Apple,1650984364354,84,297,92,107,132,62,260,95,1453
AppleBanana.csv,Banana+Apple,1650984411629,86,276,89,102,133,57,249,91,1384
AppleBanana.csv,Banana+Apple,1650984278889,77,320,88,116,127,57,298,87,1427
AppleBanana.csv,Banana+Apple,1650984317895,79,310,89,111,132,61,286,91,1473
AppleBanana.csv,Banana+Apple,1650984410944,82,274,88,94,130,57,248,96,1386
AppleBanana.csv,Banana+Apple,1650984409679,83,277,87,92,130,56,257,93,1387
AppleBanana.csv,Banana+Apple,1650984389994,82,282,89,91,131,60,233,95,1408
AppleBanana.csv,Banana+Apple,1650984376357,87,282,89,95,134,57,249,95,1432
AppleBanana.csv,Banana+Apple,1650984412740,86,277,87,95,136,53,251,94,1383
AppleBanana.csv,Banana+Apple,1650984270858,72,327,91,125,125,56,301,79,1424
AppleBanana.csv,Banana+Apple,1650984419406,87,272,86,92,128,56,239,91,1376
AppleBanana.csv,Banana+Apple,1650984356343,80,292,91,104,134,66,267,98,1463
AppleBanana.csv,Banana+Apple,1650984283888,73,322,87,118,128,58,303,89,1450
AppleBanana.csv,Banana+Apple,1650984355631,85,295,93,104,135,62,264,100,1461
AppleBanana.csv,Banana+Apple,1650984393550,99,269,101,101,132,58,241,107,1405
AppleBanana.csv,Banana+Apple,1650984286134,74,320,85,118,126,60,290,86,1454
AppleBanana.csv,Banana+Apple,1650984290830,77,322,88,118,130,61,304,92,1461
AppleBanana.csv,Banana+Apple,1650984407960,84,273,91,92,135,60,244,93,1391
AppleBanana.csv,Banana+Apple,1650984305526,78,319,91,123,134,61,294,92,1473
AppleBanana.csv,Banana+Apple,1650984298932,82,320,84,114,132,57,289,89,1474
AppleBanana.csv,Banana+Apple,1650984404112,83,273,89,100,130,57,251,92,1386
AppleBanana.csv,Banana+Apple,1650984278997,72,323,88,117,123,58,298,88,1443
AppleBanana.csv,Banana+Apple,1650984281139,75,325,92,124,124,55,288,86,1446
AppleBanana.csv,Banana+Apple,1650984398988,85,276,94,97,133,61,245,92,1398
AppleBanana.csv,Banana+Apple,1650984272226,71,325,87,121,124,54,313,85,1432
AppleBanana.csv,Banana+Apple,1650984317036,81,311,85,114,132,62,281,85,1478
AppleBanana.csv,Banana+Apple,1650984284261,75,319,84,123,130,60,304,88,1445
AppleBanana.csv,Banana+Apple,1650984394386,79,276,88,102,133,62,251,92,1406
AppleBanana.csv,Banana+Apple,1650984274146,73,329,87,122,127,53,289,83,1431
AppleBanana.csv,Banana+Apple,1650984380227,85,277,91,94,133,58,241,93,1421
AppleBanana.csv,Banana+Apple,1650984413720,83,275,88,95,131,59,253,93,1389
AppleBanana.csv,Banana+Apple,1650984360928,87,296,89,103,131,61,263,95,1460
AppleBanana.csv,Banana+Apple,1650984408856,88,275,86,94,127,56,248,94,1394
AppleBanana.csv,Banana+Apple,1650984307782,81,312,88,115,133,60,281,90,1473
