crop,maturity_stage,hours_since_harvest,temperature_c,humidity_percent,ethylene_ppm,voc_index,co2_ppm,weight_loss_percent,spoilage_risk
Tomato,Ripe,110,28.22,64.9,1.131,3.521,301.0,3.28,Low
Brinjal,Semi-Ripe,92,22.84,64.41,1.876,3.557,606.9,3.12,Low
Brinjal,Semi-Ripe,45,30.0,59.64,0.357,3.325,493.0,2.5,Low
Tomato,Ripe,44,30.76,73.14,0.819,2.984,428.0,6.22,Low
Mango,Ripe,133,19.2,70.82,1.787,2.954,469.9,2.05,Low
Banana,Unripe,181,21.79,48.91,1.047,2.805,624.4,2.43,Low
Brinjal,Unripe,134,27.51,48.18,2.793,2.948,587.7,2.59,Medium
Banana,Unripe,158,25.74,73.1,0.332,3.023,484.6,4.27,Low
Tomato,Unripe,63,26.93,58.22,0.306,0.955,363.3,4.18,Low
Onion,Ripe,227,23.59,71.62,1.714,1.631,371.8,6.34,Low
Banana,Ripe,198,30.52,77.37,1.833,1.368,590.4,6.58,Medium
Banana,Semi-Ripe,211,30.11,52.75,0.873,3.718,346.7,4.84,Medium
Banana,Ripe,160,27.26,51.06,1.323,4.32,485.8,3.71,Low
Banana,Semi-Ripe,167,31.51,88.09,1.685,0.114,821.7,7.44,Medium
Mango,Ripe,17,28.87,72.22,0.566,4.221,555.1,0.0,Low
Mango,Ripe,38,23.56,62.97,0.61,2.595,589.1,3.07,Low
Tomato,Ripe,31,28.48,56.79,1.142,3.614,372.7,3.65,Low
Brinjal,Ripe,116,23.16,61.87,1.883,3.057,352.7,7.26,Low
Mango,Unripe,141,30.51,53.71,0.442,4.084,595.5,1.2,Low
Tomato,Ripe,28,26.8,78.6,0.871,2.731,466.1,2.08,Low
Tomato,Semi-Ripe,181,26.26,58.68,0.843,1.0,640.8,2.23,Medium
Onion,Unripe,132,24.28,81.12,1.34,2.384,517.2,0.85,Low
Banana,Ripe,143,31.89,63.19,0.994,3.067,926.8,3.85,Medium
Brinjal,Ripe,220,26.38,55.48,0.682,2.262,443.3,6.64,Low
Banana,Unripe,140,25.29,62.88,2.396,3.224,546.7,6.35,Low
Onion,Semi-Ripe,0,25.59,36.51,0.686,2.428,404.7,1.54,Low
Onion,Ripe,185,29.13,66.55,0.815,1.845,635.8,5.92,Medium
Brinjal,Ripe,211,28.46,65.96,0.328,1.305,564.9,4.68,Medium
Onion,Semi-Ripe,20,28.65,77.9,0.607,2.069,396.7,3.74,Low
Mango,Unripe,129,28.72,45.36,1.435,2.725,473.9,6.13,Low
Banana,Semi-Ripe,113,35.57,81.94,1.252,0.345,676.6,3.51,Medium
Mango,Semi-Ripe,36,25.37,77.85,1.521,1.642,662.2,4.87,Low
Onion,Ripe,66,24.95,83.02,1.471,0.304,342.3,1.11,Low
Mango,Unripe,206,23.74,67.37,4.312,1.821,456.1,6.15,Low
Brinjal,Unripe,94,29.46,80.17,0.592,3.817,730.6,5.49,Medium
Mango,Ripe,129,31.52,50.35,0.322,1.195,491.9,5.72,Low
Brinjal,Ripe,187,26.54,76.56,0.479,3.273,534.0,2.61,Medium
Tomato,Semi-Ripe,108,23.64,58.75,0.611,5.634,635.2,3.43,Low
Brinjal,Semi-Ripe,214,23.7,48.18,0.506,4.099,352.1,5.61,Medium
Onion,Semi-Ripe,120,29.6,54.51,1.068,2.647,399.2,4.74,Low
Banana,Unripe,237,29.97,68.07,2.403,3.444,473.2,5.55,Medium
Banana,Unripe,35,29.17,58.11,2.938,0.993,656.6,5.49,Low
Banana,Semi-Ripe,214,24.34,72.51,1.423,0.769,634.4,2.74,Medium
